title,abstract,trial
"""Adjuvant chemotherapy followed by goserelin compared with either modality alone: the impact on amenorrhea, hot flashes, and quality of life in premenopausal patients--the International Breast Cancer Study Group Trial VIII.""","""PURPOSE: The purpose of this article is to compare quality of life (QOL) and menopausal symptoms among premenopausal patients with lymph node-negative breast cancer receiving chemotherapy, goserelin, or their sequential combination, and to investigate differential effects by age. PATIENTS AND METHODS: We evaluated QOL data from 874 pre- and perimenopausal women with lymph node-negative breast cancer who were randomly assigned to receive six courses of classical cyclophosphamide, methotrexate, and fluorouracil (CMF) chemotherapy, ovarian suppression with goserelin for 24 months, or six courses of classical CMF followed by 18 months of goserelin. We report QOL data collected during 3 years after random assignment in patients without disease recurrence. RESULTS: Overall, patients receiving goserelin alone showed a marked improvement or less deterioration in QOL measures over the first 6 months than those patients treated with CMF. There were no differences at 3 years after random assignment according to treatment except for hot flashes. As reflected in the hot flashes scores, patients in all three treatment groups experienced induced amenorrhea, but the onset of ovarian function suppression was slightly delayed for patients receiving chemotherapy. Younger patients (< 40 years) who received goserelin alone returned to their premenopausal status at 6 months after the cessation of therapy, while those who received CMF showed marginal changes from their baseline hot flashes scores. CONCLUSION: Age-adjusted risk profiles that consider patient-reported outcomes enable patients to adapt to their disease and treatment, such as considering the trade-offs between delayed endocrine symptoms, but higher risk of permanent menopause with chemotherapy, and immediate but reversible endocrine symptoms with goserelin, in younger premenopausal patients.""",0
"""Relaxation and guided imagery program in patients with breast cancer undergoing radiotherapy is not associated with neuroimmunomodulatory effects.""","""OBJECTIVE: Treatment of breast cancer is usually associated with significant psychological stress. In this study, we examined the effects of relaxation and visualization therapy (RVT) on psychological distress, cortisol levels, and immunological parameters of breast cancer patients undergoing radiotherapy. METHODS: Participants were randomly assigned to either the experimental (n=20) who underwent group RVT for 24 consecutive days or control group (n=14) who were on radiotherapy only. Psychological scores (stress, anxiety, and depression) were measured by structured clinical interviews. Salivary cortisol was assessed along the day. Lymphocytes were isolated and cultured to measure T-cell proliferation and sensitivity to glucocorticoids (GCs). RESULTS: RVT was effective to reduce stress, anxiety, and depression scores (all P<.05). However, cortisol levels as well as proliferation remained unchanged following RVT. Although T cells of experimental group were more sensitive to GCs than cells of controls at baseline, no changes were noted following RVT. Cortisol levels were positively correlated to anxiety and depression scores and inversely correlated to T-cell proliferation and sensitivity to GCs. CONCLUSION: We conclude that the psychological intervention was capable to attenuate the emotional distress presented during radiotherapy treatment. A longer RVT or worse psychological morbidity at baseline may be necessary to translate psychological into biological changes.""",0
"""Effect of age and radiation dose on local control after breast conserving treatment: EORTC trial 22881-10882.""","""PURPOSE: To determine whether the effect of an additional ""boost"" radiation after breast conservative therapy (BCT) on local control depends on age and evaluate the impact of a treatment policy with a threshold for age. PATIENTS AND METHODS: We used data from EORTC 22881-10882 trial, with median follow-up of 77.4 months. Patients receiving BCT and 50Gy whole breast irradiation were randomized to no boost and 16Gy boost (N=5318). RESULTS: In univariate analysis, a boost reduced local failure by a factor of 2 (P<0.0001). Multivariate analysis showed local control increased with age (P=0.0003). There was no evidence that the relative effect of a boost on local control depends on age (P=0.97) However in younger patients the 5-year local failure was higher, therefore the absolute reduction was greater. If the threshold-age for boost treatment were set at 40 years, 8.4% of the study population would receive a boost, resulting in a 5-year local failure of 6.1% in the study population. Changing the threshold-age to 60 years, 67% of the study population would receive a boost and the 5-year local failure would be reduced to 4.4%. CONCLUSIONS: In younger patients a boost dose resulted in a greater absolute reduction of local failure. The relative risk reduction was however similar for all ages. Applying a treatment policy with a threshold-age of 60 would result in 0.6% increase in local failure in the total study population, while sparing the boost to 1/3 of the patients.""",0
"""The effect of systemic adjuvant chemotherapy on local breast recurrence in node positive breast cancer patients treated by lumpectomy without radiation.""","""A randomised trial has previously been repeated in which 437 women with node positive breast cancer received either a 12-week chemohormonal regimen consisting of cyclophosphamide, methotrexate, fluorouracil, vincristine, prednisone, adriamycin and tamoxifen or 36 weeks of CMFVP. The present analysis concerns the local recurrence rates for the 122 lumpectomy patients who did not receive breast irradiation. The cumulative rate of local breast recurrence was greater in the 12-week than the 36-week group, P = 0.02. Similarly, in the lumpectomy patients, the cumulative rate of distant recurrence was greater in the 12-week than the 36-week group, P = 0.04. In conclusion, our results suggest that adjuvant chemotherapy impacts on local breast recurrence in a similar manner to other sites in Stage II breast cancer patients treated by lumpectomy without radiation. Despite the use of a conventional 36-week adjuvant chemotherapy regimen, the local breast recurrence rate was substantial.""",0
"""Analysis of time to response to chemotherapy in 316 metastatic breast cancer patients.""","""Chemotherapy is a major tool for metastatic breast cancer treatment. In this study, a series of 316 patients have been analyzed to evaluate the time needed to reach tumor response by means of combination chemotherapy. Twenty-five percent of patients responded within 3 months and virtually all responses occurred within 7.5 months. The time curves of response (any) and best response are superimposable. A subset analysis has shown that the following pretreatment characteristics predict a significantly longer time to response: prior exposure to adjuvant chemotherapy, nodal positivity at diagnosis, no previous endocrine treatment and osseous metastases.""",0
"""Amino acids and their derivatives in tumour tissue from patients with breast cancer treated with Ukrain. Part VI.""","""The present study was undertaken to evaluate the influence of Ukrain on the amino acids pool and their derivatives in tumour tissue of ten patients with breast cancer, treated in the preoperative phase with Ukrain. The control group consisted of five patients of similar age and advancement of the disease, who did not receive Ukrain. The data obtained indicate that Ukrain influences cancerous tissue, as demonstrated at the level of amino acids. The most characteristic changes observed in cancerous tissue after treatment with Ukrain were increases in the levels of proline, taurine and glutamic acid.""",0
"""Glutamine supplementation in cancer patients receiving chemotherapy: a double-blind randomized study.""","""The purpose of this study was to evaluate the efficacy of glutamine in preventing doxifluridine-induced diarrhea and the potential impact of glutamine on the tumor growth. We investigated 65 patients with advanced breast cancer receiving doxifluridine in a double-blind randomized fashion: 33 patients took glutamine (30 g/d, divided in 3 doses of 10 g each) for 8 consecutive days (5-12h) during each interval between chemotherapy, which was administered from day 1 to 4. Thirty-two patients took an equal dose of placebo (maltodextrine). The incidence of diarrhea was registered after each cycle of chemotherapy and severity was scored by the National Cancer Institute (NCI), Bethesda, Maryland, classification. The tumor response was evaluated by the World Health Organization (WHO) criteria. A total of 278 and 259 cycles (median 10 cycles), respectively, were delivered in glutamine and placebo groups. There were 34 and 32 episodes of diarrhea in glutamine and placebo groups, with no statistical difference overall, in the severity and duration of tumor growth, there was no difference in the response rate (21% and 28% of complete or partial response, respectively), in median time to response (2 mo), or in median duration of response. In conclusion, glutamine did not prevent the occurrence of the doxifluridine-induced diarrhea and did not have any impact on tumor response to chemotherapy.""",0
"""Controlled clinical study on the use of dichloromethylene diphosphonate in patients with breast carcinoma metastasizing to the skeleton.""","""Thirty-eight normocalcemic patients with bone metastases from breast carcinoma were randomized to receive dichloromethylene diphosphonate (CL2MDP) in addition to their specific antitumor treatment (chemotherapy and/or hormone therapy), at a dose of 300 mg/day/i.v. or placebo for the first 7 dys. The CL2MDP treatment then continued at a dose of 100 mg day/i.m. for 3 weeks and finally at 100 mg i.m. on alternate days for at least another 2 months. In both groups of patients there was a reduction in the intensity of pain (Scott-Huskisson analog), but there was a more frequent reduction in the daily consumption of analgesics in patients treated with CL2MDP (p = 0.02). Unlike the controls, the patients who received CL2MDP presented a significant reduction in urinary calcium (p = 0.003) and in hydroxyproline (p = 0.05) on the 7th day. As regards the clinical evolution, negative events such as the appearance of hypercalcemia, pathological fractures, new bone lesions or a substantial increase in the preexisting ones, were observed in 9 of the 12 evaluable patients treated with placebo and in 3 out of 9 treated with CL2MDP. Thickening of the preexisting osteolytic lesions was reported in 2 patients treated with CL2MDP. Tolerance was excellent: only a few patients complained of pain at the intramuscular drug injection site.""",0
"""High-dose medroxyprogesterone acetate plus mitomycin-C or vindesine in the treatment of advanced breast cancer.""","""Forty women with metastatic breast cancer were randomized to receive either mitomycin-C (MMC) (21 patients) or vindesine (19 patients) with high dose medroxyprogesterone acetate (MPA). Response rates were not significantly different (33% for MPA and MMC and 28% for MPA and vindesine); the duration of response was better for patients receiving the MMC combination (median of 10.5 months versus 6 months for those on the vindesine combination).""",1
"""Combination chemotherapy with prednimustine, adriamycin, vincristine (VAP) in advanced breast cancer. A phase II study.""","""The purpose of this study was to evaluate VAP combination chemotherapy in advanced breast cancer: prednimustine 80 mg/m2 p.o. days 1-5, adriamycin 40 mg/m2 and vincristine 1.4 mg/m2 1st day in cycles of 3 weeks. Twenty-one women entered the study and 19 were evaluable. The mean age was 54.5 years (25-69) with an average performance status of 60 according to Karnofsky. Hormonal receptors were unknown in 10, positive in 6 and negative in 3. The dominant site of disease was soft tissues in 11, bones in 1, liver in 3 and lung in 4. Fourteen patients had as prior treatment cyclophosphamide, methotrexate and 5-fluorouracil (CMF), two had tamoxifen and three none. Ten patients (52.6%) had a partial response with a mean survival of 7.8+ months, 5 patients (26.3%) had stable disease with a mean survival 6.6+ months and 4 patients (21.1%) had progressive disease with a mean survival of 3 months. Regarding toxicity all patients had alopecia, most of the patients had nausea grade I, whereas 5 patients developed mild leukopenia. We conclude that VAP is an effective, well tolerated chemotherapy combination in patients with advanced breast cancer which deserves further clinical trials.""",1
